﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesniveau;Undersøgelsesmetode;Teknisk anvisning;Dataejer;Link;Dybdezone;Betegnelse;Garnplacering;Garn;Garnsektion;Taxonkode;Artkode;Art latin;Art;Optællingsmetode;Antal < 10 cm;Antal >= 10 cm;Vægt < 10 cm;Vægt >= 10 cm;0,5;1;1,5;2;2,5;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12;12,5;13;13,5;14;14,5;15;15,5;16;16,5;17;17,5;18;18,5;19;19,5;20;20,5;21;21,5;22;22,5;23;23,5;24;24,5;25;25,5;26;26,5;27;27,5;28;28,5;29;29,5;30;30,5;31;31,5;32;32,5;33;33,5;34;34,5;35;35,5;36;36,5;37;37,5;38;38,5;39;39,5;40;40,5;41;41,5;42;42,5;43;43,5;44;44,5;45;45,5;46;46,5;47;47,5;48;48,5;49;49,5;50;50,5;51;51,5;52;52,5;53;53,5;54;54,5;55;55,5;56;56,5;57;57,5;58;58,5;59;59,5;60;60,5;61;61,5;62;62,5;63;63,5;64;64,5;65;65,5;66;66,5;67;67,5;68;68,5;69;69,5;70;70,5;71;71,5;72;72,5;73;73,5;74;74,5;75;75,5;76;76,5;77;77,5;78;78,5;79;79,5;80;80,5;81;81,5;82;82,5;83;83,5;84;84,5;85;85,5;86;86,5;87;87,5;88;88,5;89;89,5;90;90,5;91;91,5;92;92,5;93;93,5;94;94,5;95;95,5;96;96,5;97;97,5;98;98,5;99;99,5;100;100,5;101;101,5;102;102,5;103;103,5;104;104,5;105;105,5;106;106,5;107;107,5;108;108,5;109;109,5;110;110,5;111;111,5;112;112,5;113;113,5;114;114,5;115;115,5;116;116,5;117;117,5;118;118,5;119;119,5;120;120,5;121;121,5;122;122,5;123;123,5;124;124,5;125;125,5;126;126,5;127;127,5;128;128,5;129;129,5;130;130,5;131;131,5;132;132,5;133;133,5;134;134,5;135;135,5;136;136,5;137;137,5;138;138,5;139;139,5;140;140,5;141;141,5;142;142,5;143;143,5;144;144,5;145;145,5;146;146,5;147;147,5;148;148,5;149;149,5;150;Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200403;Bentisk;3;1;1301380300;26;Abramis brama;Brasen;Alle optalt og individopmålt;33;0;91;0;;;;;;;1;9;12;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200402;Bentisk;2;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;20;16;97;495;;;;;;;;;;5;9;5;1;;;;;1;3;2;5;3;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200402;Bentisk;2;1;2802010100;49;Perca fluviatilis;Aborre;Alle optalt og individopmålt;58;13;540;3284,7;;;;;;;;;;;;1;13;21;13;10;1;;;;;;;;;;;;;;2;;2;1;;;;;;;;;;;;;1;1;;1;;;;;2;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200406;Bentisk;6;1;2802020100;50;Gymnocephalus cernuus;Hork;Alle optalt og individopmålt;24;0;87;0;;;;;;;;4;9;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200402;Bentisk;2;1;1301380300;26;Abramis brama;Brasen;Alle optalt og individopmålt;54;0;147;0;;;;;;;;19;18;12;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200408;Bentisk;8;1;2802010100;49;Perca fluviatilis;Aborre;Alle optalt og individopmålt;20;8;168;502;;;;;;;;;;;1;4;4;2;5;4;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200408;Bentisk;8;2;1301430100;25;Tinca tinca;Suder;Alle optalt og individopmålt;0;1;0;1785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200407;Bentisk;7;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;2;0;7;0;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200401;Bentisk;1;1;1101010100;15;Esox lucius;Gedde;Alle optalt og individopmålt;0;1;0;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200402;Bentisk;2;1;2802020100;50;Gymnocephalus cernuus;Hork;Alle optalt og individopmålt;41;0;158;0;;;;;;;;4;11;15;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200405;Bentisk;5;1;2802020100;50;Gymnocephalus cernuus;Hork;Alle optalt og individopmålt;49;0;159;0;;;;;;;;13;19;16;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200406;Bentisk;6;1;1301370100;31;Scardinius erythropthalmus;Rudskalle;Alle optalt og individopmålt;0;1;0;792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200405;Bentisk;5;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;39;3;211;67;;;;;;;;;2;5;17;13;1;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200401;Bentisk;1;1;2802010100;49;Perca fluviatilis;Aborre;Alle optalt og individopmålt;62;4;529,5;1419;;;;;;;;;;;1;6;15;25;8;7;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200408;Bentisk;8;1;1301380300;26;Abramis brama;Brasen;Alle optalt og individopmålt;1;0;4;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200405;Bentisk;5;2;2802010100;49;Perca fluviatilis;Aborre;Alle optalt og individopmålt;0;1;0;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1509200405;Bentisk;5;1;1301430100;25;Tinca tinca;Suder;Alle optalt og individopmålt;0;1;0;1635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;1609200406;Bentisk;6;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;14;13;70;1525;;;;;;;;;;1;4;7;2;;;;1;;;3;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201007;Bentisk;7;1;2802010100;49;Perca fluviatilis;Aborre;Alle optalt og individopmålt;66;8;360;1160;;;;;;;;;2;15;16;22;7;3;1;;;;;;;;;;;;1;;1;;;2;;;;1;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201005;Bentisk;5;1;1301370100;31;Scardinius erythropthalmus;Rudskalle;Alle optalt og individopmålt;4;2;46,5;20;;;;;;;;;;;1;;1;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201006;Bentisk;6;1;1101010100;15;Esox lucius;Gedde;Alle optalt og individopmålt;0;1;0;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201006;Bentisk;6;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;44;42;163;1991;;;;;;;;1;12;22;8;1;;;;;1;;5;6;7;4;5;2;;1;;1;;;1;1;5;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201010;Bentisk;10;1;1301330100;32;Rutilus rutilus;Skalle;Alle optalt og individopmålt;2;33;6,8;1489;;;;;;;;;;2;;;;;;;;;;6;12;5;3;;1;;;;1;;;;2;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;0609201009;Bentisk;9;1;1301370100;31;Scardinius erythropthalmus;Rudskalle;Alle optalt og individopmålt;1;0;9,9;0;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
